300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0.000414616
390.1,0.000422728
390.2,0.00043099
390.3,0.000439407
390.4,0.000447979
390.5,0.00045671
390.6,0.000465602
390.7,0.000474658
390.8,0.00048388
390.9,0.000493271
391,0.000502833
391.1,0.00051257
391.2,0.000522484
391.3,0.000532577
391.4,0.000542853
391.5,0.000553314
391.6,0.000563964
391.7,0.000574804
391.8,0.000585838
391.9,0.000597069
392,0.000608499
392.1,0.000620132
392.2,0.000631971
392.3,0.000644018
392.4,0.000656276
392.5,0.00066875
392.6,0.000681441
392.7,0.000694352
392.8,0.000707488
392.9,0.000720851
393,0.000734444
393.1,0.00074827
393.2,0.000762333
393.3,0.000776635
393.4,0.00079118
393.5,0.000805972
393.6,0.000821013
393.7,0.000836307
393.8,0.000851857
393.9,0.000867667
394,0.000883739
394.1,0.000900077
394.2,0.000916685
394.3,0.000933565
394.4,0.000950721
394.5,0.000968157
394.6,0.000985875
394.7,0.00100388
394.8,0.00102217
394.9,0.00104076
395,0.00105965
395.1,0.00107883
395.2,0.00109832
395.3,0.00111811
395.4,0.00113821
395.5,0.00115863
395.6,0.00117936
395.7,0.00120042
395.8,0.00122179
395.9,0.0012435
396,0.00126553
396.1,0.0012879
396.2,0.0013106
396.3,0.00133365
396.4,0.00135704
396.5,0.00138077
396.6,0.00140485
396.7,0.00142929
396.8,0.00145409
396.9,0.00147924
397,0.00150475
397.1,0.00153063
397.2,0.00155688
397.3,0.0015835
397.4,0.0016105
397.5,0.00163787
397.6,0.00166562
397.7,0.00169376
397.8,0.00172228
397.9,0.00175119
398,0.00178049
398.1,0.00181019
398.2,0.00184028
398.3,0.00187077
398.4,0.00190166
398.5,0.00193296
398.6,0.00196466
398.7,0.00199677
398.8,0.00202929
398.9,0.00206222
399,0.00209557
399.1,0.00212933
399.2,0.00216352
399.3,0.00219812
399.4,0.00223314
399.5,0.00226858
399.6,0.00230445
399.7,0.00234075
399.8,0.00237747
399.9,0.00241462
400,0.00245219
400.1,0.0024902
400.2,0.00252864
400.3,0.00256752
400.4,0.00260684
400.5,0.0026466
400.6,0.00268681
400.7,0.00272748
400.8,0.00276859
400.9,0.00281017
401,0.00285222
401.1,0.00289473
401.2,0.00293771
401.3,0.00298117
401.4,0.00302511
401.5,0.00306954
401.6,0.00311446
401.7,0.00315987
401.8,0.00320578
401.9,0.00325219
402,0.00329912
402.1,0.00334655
402.2,0.00339451
402.3,0.00344299
402.4,0.003492
402.5,0.00354154
402.6,0.00359162
402.7,0.00364225
402.8,0.00369343
402.9,0.00374517
403,0.00379747
403.1,0.00385033
403.2,0.00390378
403.3,0.0039578
403.4,0.00401241
403.5,0.00406761
403.6,0.00412342
403.7,0.00417983
403.8,0.00423685
403.9,0.0042945
404,0.00435277
404.1,0.00441168
404.2,0.00447123
404.3,0.00453143
404.4,0.00459229
404.5,0.00465381
404.6,0.00471601
404.7,0.00477889
404.8,0.00484247
404.9,0.00490674
405,0.00497172
405.1,0.00503741
405.2,0.00510382
405.3,0.00517096
405.4,0.00523881
405.5,0.00530738
405.6,0.00537667
405.7,0.00544668
405.8,0.00551741
405.9,0.00558885
406,0.00566101
406.1,0.00573389
406.2,0.00580748
406.3,0.00588179
406.4,0.0059568
406.5,0.00603252
406.6,0.00610895
406.7,0.00618607
406.8,0.00626389
406.9,0.00634241
407,0.00642161
407.1,0.0065015
407.2,0.00658207
407.3,0.00666331
407.4,0.00674522
407.5,0.00682779
407.6,0.00691101
407.7,0.00699489
407.8,0.0070794
407.9,0.00716454
408,0.00725031
408.1,0.0073367
408.2,0.00742369
408.3,0.00751127
408.4,0.00759945
408.5,0.0076882
408.6,0.00777751
408.7,0.00786738
408.8,0.00795778
408.9,0.00804872
409,0.00814017
409.1,0.00823213
409.2,0.00832457
409.3,0.00841749
409.4,0.00851086
409.5,0.00860468
409.6,0.00869893
409.7,0.00879359
409.8,0.00888864
409.9,0.00898407
410,0.00907986
410.1,0.00917599
410.2,0.00927246
410.3,0.00936926
410.4,0.0094664
410.5,0.00956386
410.6,0.00966166
410.7,0.00975978
410.8,0.00985822
410.9,0.00995699
411,0.0100561
411.1,0.0101555
411.2,0.0102552
411.3,0.0103553
411.4,0.0104556
411.5,0.0105563
411.6,0.0106573
411.7,0.0107587
411.8,0.0108603
411.9,0.0109623
412,0.0110646
412.1,0.0111672
412.2,0.0112701
412.3,0.0113733
412.4,0.0114769
412.5,0.0115808
412.6,0.011685
412.7,0.0117896
412.8,0.0118944
412.9,0.0119997
413,0.0121052
413.1,0.0122111
413.2,0.0123174
413.3,0.0124239
413.4,0.0125309
413.5,0.0126382
413.6,0.0127458
413.7,0.0128539
413.8,0.0129622
413.9,0.013071
414,0.0131801
414.1,0.0132897
414.2,0.0133996
414.3,0.0135099
414.4,0.0136206
414.5,0.0137317
414.6,0.0138433
414.7,0.0139552
414.8,0.0140676
